rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
75,frame_0131.jpg,52.4,0.5065,0.429,0.3333,0.96,4,2,False,False
76,frame_0128.jpg,51.2,0.5048,0.3735,0.5,0.84,5,3,False,False
77,frame_0122.jpg,48.8,0.5041,0.5682,0.3333,0.6,3,2,False,False
78,frame_0304.jpg,121.6,0.5027,0.4774,0.6667,0.32,5,4,False,False
79,frame_0094.jpg,37.6,0.4997,0.5193,0.6667,0.2,4,4,False,False
80,frame_0368.jpg,147.2,0.4928,0.5696,0.6667,0.04,7,4,False,False
81,frame_0396.jpg,158.4,0.4916,0.7192,0.3333,0.16,6,2,False,False
82,frame_0315.jpg,126.0,0.491,0.534,0.6667,0.12,5,4,False,False
83,frame_0215.jpg,86.0,0.4898,0.5877,0.3333,0.48,3,2,False,False
84,frame_0330.jpg,132.0,0.4889,0.6617,0.5,0.04,6,3,False,False
85,frame_0114.jpg,45.6,0.4888,0.4656,0.6667,0.28,5,4,False,False
86,frame_0290.jpg,116.0,0.4809,0.3418,0.5,0.8,6,3,False,False
87,frame_0033.jpg,13.2,0.4808,0.3617,0.3333,1.0,7,2,False,False
88,frame_0124.jpg,49.6,0.4789,0.3858,0.5,0.68,5,3,False,False
89,frame_0005.jpg,2.0,0.4781,0.3563,0.3333,1.0,5,2,False,False
90,frame_0287.jpg,114.8,0.4761,0.4802,0.3333,0.68,6,2,False,False
91,frame_0224.jpg,89.6,0.4702,0.6924,0.3333,0.12,4,2,False,False
92,frame_0381.jpg,152.4,0.4685,0.521,0.6667,0.04,7,4,False,False
93,frame_0068.jpg,27.2,0.4665,0.3331,0.3333,1.0,6,2,False,False
94,frame_0025.jpg,10.0,0.4623,0.4245,0.1667,1.0,2,1,False,False
95,frame_0384.jpg,153.6,0.4611,0.5582,0.5,0.16,6,3,False,False
96,frame_0285.jpg,114.0,0.461,0.582,0.1667,0.6,6,1,False,False
97,frame_0024.jpg,9.6,0.4592,0.4184,0.1667,1.0,1,1,False,False
98,frame_0023.jpg,9.2,0.4591,0.4181,0.1667,1.0,2,1,False,False
99,frame_0184.jpg,73.6,0.4566,0.5811,0.5,0.08,6,3,False,False
100,frame_0026.jpg,10.4,0.4555,0.3111,0.3333,1.0,3,2,False,False
101,frame_0198.jpg,79.2,0.4539,0.6318,0.1667,0.44,2,1,False,False
102,frame_0132.jpg,52.8,0.4531,0.3062,0.3333,1.0,6,2,False,False
103,frame_0169.jpg,67.6,0.4527,0.4974,0.3333,0.52,6,2,False,False
104,frame_0178.jpg,71.2,0.4523,0.6407,0.3333,0.16,3,2,False,False
105,frame_0179.jpg,71.6,0.4514,0.5547,0.5,0.12,3,3,False,False
106,frame_0327.jpg,130.8,0.4483,0.5806,0.5,0.04,9,3,False,False
107,frame_0173.jpg,69.2,0.4466,0.5493,0.3333,0.36,5,2,False,False
108,frame_0200.jpg,80.0,0.4466,0.4853,0.3333,0.52,2,2,False,False
109,frame_0195.jpg,78.0,0.4455,0.563,0.3333,0.32,3,2,False,False
110,frame_0018.jpg,7.2,0.4435,0.3869,0.1667,1.0,3,1,False,False
111,frame_0111.jpg,44.4,0.4428,0.8217,0.0,0.16,2,0,False,False
112,frame_0378.jpg,151.2,0.4407,0.4493,0.6667,0.08,9,4,False,False
113,frame_0183.jpg,73.2,0.4403,0.6647,0.3333,0.04,6,2,False,False
114,frame_0230.jpg,92.0,0.4383,0.5285,0.5,0.12,7,3,False,False
115,frame_0389.jpg,155.6,0.4367,0.5255,0.5,0.12,7,3,False,False
116,frame_0086.jpg,34.4,0.4363,0.3645,0.5,0.52,5,3,False,False
117,frame_0167.jpg,66.8,0.433,0.426,0.3333,0.6,5,2,False,False
118,frame_0277.jpg,110.8,0.4322,0.4525,0.5,0.28,4,3,False,False
119,frame_0329.jpg,131.6,0.4314,0.5307,0.5,0.08,6,3,False,False
120,frame_0186.jpg,74.4,0.4306,0.4451,0.6667,0.04,6,4,False,False
121,frame_0319.jpg,127.6,0.4306,0.4493,0.5,0.28,6,3,False,False
122,frame_0089.jpg,35.6,0.4301,0.4003,0.5,0.4,5,3,False,False
123,frame_0085.jpg,34.0,0.4292,0.5343,0.1667,0.56,2,1,False,False
124,frame_0296.jpg,118.4,0.429,0.402,0.3333,0.64,5,2,False,False
125,frame_0288.jpg,115.2,0.4283,0.4685,0.1667,0.72,5,1,False,False
126,frame_0377.jpg,150.8,0.4269,0.6059,0.3333,0.12,9,2,False,False
127,frame_0387.jpg,154.8,0.4263,0.4725,0.5,0.2,7,3,False,False
128,frame_0103.jpg,41.2,0.4222,0.4803,0.5,0.16,3,3,False,False
129,frame_0104.jpg,41.6,0.4207,0.4934,0.5,0.12,5,3,False,False
130,frame_0395.jpg,158.0,0.4197,0.5914,0.3333,0.12,5,2,False,False
131,frame_0105.jpg,42.0,0.4196,0.4071,0.6667,0.08,6,4,False,False
132,frame_0390.jpg,156.0,0.4191,0.5062,0.5,0.08,6,3,False,False
133,frame_0003.jpg,1.2,0.4179,0.3358,0.1667,1.0,4,1,False,False
134,frame_0300.jpg,120.0,0.4175,0.4431,0.3333,0.48,4,2,False,False
135,frame_0292.jpg,116.8,0.4138,0.4076,0.1667,0.8,4,1,False,False
136,frame_0174.jpg,69.6,0.4113,0.5945,0.1667,0.32,3,1,False,False
137,frame_0189.jpg,75.6,0.4107,0.5895,0.3333,0.08,3,2,False,False
138,frame_0394.jpg,157.6,0.4103,0.4886,0.5,0.08,3,3,False,False
139,frame_0268.jpg,107.2,0.4099,0.4877,0.5,0.08,5,3,False,False
140,frame_0399.jpg,159.6,0.4098,0.4076,0.5,0.28,5,3,False,False
141,frame_0013.jpg,5.2,0.4088,0.3176,0.1667,1.0,2,1,False,False
142,frame_0012.jpg,4.8,0.4077,0.3154,0.1667,1.0,2,1,False,False
143,frame_0096.jpg,38.4,0.4064,0.5649,0.3333,0.12,4,2,False,False
144,frame_0100.jpg,40.0,0.406,0.4959,0.5,0.04,5,3,False,False
145,frame_0294.jpg,117.6,0.4056,0.3232,0.3333,0.72,5,2,False,False
146,frame_0302.jpg,120.8,0.4051,0.3501,0.5,0.4,5,3,False,False
147,frame_0280.jpg,112.0,0.4043,0.4487,0.3333,0.4,4,2,False,False
148,frame_0067.jpg,26.8,0.4018,0.3035,0.1667,1.0,7,1,False,False
149,frame_0083.jpg,33.2,0.4012,0.4463,0.1667,0.64,3,1,False,False
150,frame_0076.jpg,30.4,0.3992,0.3304,0.1667,0.92,5,1,False,False
151,frame_0181.jpg,72.4,0.3987,0.4814,0.5,0.04,4,3,False,False
152,frame_0006.jpg,2.4,0.3974,0.2948,0.1667,1.0,4,1,False,False
153,frame_0216.jpg,86.4,0.3971,0.5182,0.1667,0.44,4,1,False,False
154,frame_0110.jpg,44.0,0.3956,0.5432,0.3333,0.12,2,2,False,False
155,frame_0177.jpg,70.8,0.3949,0.5099,0.3333,0.2,4,2,False,False
156,frame_0228.jpg,91.2,0.3947,0.4734,0.5,0.04,6,3,False,False
157,frame_0088.jpg,35.2,0.3945,0.4131,0.3333,0.44,5,2,False,False
158,frame_0279.jpg,111.6,0.3941,0.4443,0.3333,0.36,4,2,False,False
159,frame_0118.jpg,47.2,0.3939,0.4119,0.3333,0.44,2,2,False,False
160,frame_0273.jpg,109.2,0.3933,0.4387,0.5,0.12,4,3,False,False
161,frame_0194.jpg,77.6,0.3909,0.3699,0.5,0.28,4,3,False,False
162,frame_0333.jpg,133.2,0.39,0.5481,0.3333,0.08,6,2,False,False
163,frame_0320.jpg,128.0,0.3869,0.4778,0.3333,0.24,5,2,False,False
164,frame_0020.jpg,8.0,0.386,0.272,0.1667,1.0,4,1,False,False
165,frame_0222.jpg,88.8,0.3851,0.3903,0.5,0.2,3,3,False,False
166,frame_0379.jpg,151.6,0.385,0.454,0.5,0.04,9,3,False,False
167,frame_0374.jpg,149.6,0.3839,0.5877,0.1667,0.2,9,1,False,False
168,frame_0231.jpg,92.4,0.382,0.3999,0.5,0.16,7,3,False,False
169,frame_0116.jpg,46.4,0.3806,0.5171,0.1667,0.36,5,1,False,False
170,frame_0185.jpg,74.0,0.3797,0.5274,0.3333,0.08,5,2,False,False
171,frame_0385.jpg,154.0,0.3766,0.4732,0.3333,0.2,6,2,False,False
172,frame_0171.jpg,68.4,0.3732,0.4703,0.1667,0.44,3,1,False,False
173,frame_0299.jpg,119.6,0.3731,0.3382,0.3333,0.52,6,2,False,False
174,frame_0233.jpg,93.2,0.3726,0.3492,0.5,0.24,5,3,False,False
175,frame_0272.jpg,108.8,0.3707,0.5095,0.3333,0.08,3,2,False,False
176,frame_0112.jpg,44.8,0.3702,0.6604,0.0,0.2,3,0,False,False
177,frame_0192.jpg,76.8,0.3693,0.6587,0.0,0.2,3,0,False,False
178,frame_0117.jpg,46.8,0.3681,0.4762,0.1667,0.4,3,1,False,False
179,frame_0303.jpg,121.2,0.3666,0.3892,0.3333,0.36,4,2,False,False
180,frame_0383.jpg,153.2,0.3629,0.3777,0.5,0.12,3,3,False,False
181,frame_0032.jpg,12.8,0.362,0.3241,0.0,1.0,6,0,False,False
182,frame_0125.jpg,50.0,0.3618,0.3356,0.1667,0.72,5,1,False,False
183,frame_0090.jpg,36.0,0.3616,0.4791,0.1667,0.36,4,1,False,False
184,frame_0202.jpg,80.8,0.36,0.3799,0.1667,0.6,4,1,False,False
185,frame_0172.jpg,68.8,0.3584,0.3569,0.3333,0.4,4,2,False,False
186,frame_0208.jpg,83.2,0.3584,0.3127,0.1667,0.76,3,1,False,False
187,frame_0223.jpg,89.2,0.3571,0.4503,0.3333,0.16,4,2,False,False
188,frame_0081.jpg,32.4,0.3569,0.3257,0.1667,0.72,3,1,False,False
189,frame_0082.jpg,32.8,0.3528,0.3336,0.1667,0.68,2,1,False,False
190,frame_0295.jpg,118.0,0.3522,0.4323,0.0,0.68,4,0,False,False
191,frame_0308.jpg,123.2,0.3495,0.435,0.3333,0.16,5,2,False,False
192,frame_0232.jpg,92.8,0.3486,0.5172,0.1667,0.2,4,1,False,False
193,frame_0281.jpg,112.4,0.3478,0.4195,0.1667,0.44,3,1,False,False
194,frame_0201.jpg,80.4,0.3477,0.4714,0.0,0.56,2,0,False,False
195,frame_0203.jpg,81.2,0.3464,0.3367,0.1667,0.64,2,1,False,False
196,frame_0109.jpg,43.6,0.3427,0.3533,0.5,0.08,5,3,False,False
197,frame_0391.jpg,156.4,0.3354,0.3548,0.5,0.04,8,3,False,False
198,frame_0080.jpg,32.0,0.3339,0.2637,0.1667,0.76,4,1,False,False
199,frame_0372.jpg,148.8,0.3339,0.4199,0.3333,0.12,5,2,False,False
200,frame_0191.jpg,76.4,0.3338,0.5036,0.1667,0.16,2,1,False,False
201,frame_0293.jpg,117.2,0.3235,0.243,0.1667,0.76,5,1,False,False
202,frame_0271.jpg,108.4,0.3208,0.5255,0.1667,0.04,3,1,False,False
203,frame_0373.jpg,149.2,0.3197,0.4754,0.1667,0.16,5,1,False,False
